team,nationality,position,potential,name
Borussia Dortmund ,Belgium,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Delantero central,Muy bueno,Thorgan Hazard
Manchester United ,England,Defensa central,Muy bueno,Harry Maguire
Valencia CF ,Brazil,Defensa central,Muy bueno,Gabriel Paulista
Atlético Madrid ,Spain,Delantero,Muy bueno,Morata
Everton ,France,Defensa lateral (lateral derecha),Muy bueno,Lucas Digne
Ajax ,Serbia,Mediocampista ofensivo|Delantero central|Extremo (Extremo izquierdo),Muy bueno,Dušan Tadic
Bayer 04 Leverkusen ,Chile,Mediocampista defensivo|Mediocampista central,Muy bueno,Charles Aránguiz
Paris Saint-Germain ,Spain,Mediocampista ofensivo|Extremo (Extremo derecho),Muy bueno,Pablo Sarabia
Crystal Palace ,Ivory Coast,Mediocampista lateral (Mediocampista derecho)|Delantero central,Muy bueno,Wilfried Zaha
Valencia CF ,Spain,Delantero,Muy bueno,Rodrigo
Real Betis ,Spain,Defensa central|Mediocampista defensivo,Muy bueno,Bartra
FC Bayern München ,Austria,Defensa lateral (lateral derecha)|Defensa central,Muy bueno,David Alaba
Liverpool ,Cameroon,Defensa central,Muy bueno,Joel Matip
Juventus ,Colombia,Defensa lateral|Mediocampista lateral|Extremo (Extremo derecho),Muy bueno,Juan Cuadrado
VfL Wolfsburg ,Belgium,Portero,Muy bueno,Koen Casteels
Bayer 04 Leverkusen ,Finland,Portero,Muy bueno,Lukáš Hrádecky
Ajax ,Netherlands,Defensa lateral (lateral derecha)|Defensa central|Mediocampista defensivo,Muy bueno,Daley Blind
Athletic Club ,Spain,Mediocampista ofensivo|Extremo (Extremo derecho)|Extremo (Extremo izquierdo),Muy bueno,Muniain
Eintracht Frankfurt ,Germany,Portero,Muy bueno,Kevin Trapp
Manchester City ,England,Defensa lateral,Muy bueno,Kyle Walker
Juventus ,Wales,Mediocampista central|Mediocampista ofensivo,Muy bueno,Aaron Ramsey
Shanghai SIPG FC ,Austria,Delantero,Muy bueno,Marko Arnautovic
Fenerbahçe SK ,Germany,Delantero|Mediocampista ofensivo,Muy bueno,Max Kruse
FC Bayern München ,Croatia,Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo izquierdo),Muy bueno,Ivan Perišic
Juventus ,Germany,Mediocampista defensivo|Mediocampista central,Muy bueno,Sami Khedira
Wolverhampton Wanderers ,Portugal,Portero,Muy bueno,Rui Patrício
Arsenal ,Germany,Mediocampista ofensivo|Extremo (Extremo derecho),Muy bueno,Mesut Özil
Dalian YiFang FC ,Slovakia,Mediocampista defensivo|Mediocampista central|Mediocampista ofensivo,Muy bueno,Marek Hamšík
Valencia CF ,Argentina,Defensa central,Muy bueno,Ezequiel Garay
LAFC ,Mexico,Mediocampista ofensivo|Extremo (Extremo derecho)|Extremo (Extremo izquierdo),Muy bueno,Carlos Vela
Olympique de Marseille ,France,Portero,Muy bueno,Steve Mandanda
Leicester City ,Denmark,Portero,Muy bueno,Kasper Schmeichel
Villarreal CF ,Spain,Defensa central,Muy bueno,Raúl Albiol
Villarreal CF ,Spain,Mediocampista defensivo|Mediocampista lateral (Mediocampista derecho)|Mediocampista central,Muy bueno,Santi Cazorla
Juventus ,Italy,Portero,Muy bueno,Gianluigi Buffon
Free Agents ,Uruguay,Mediocampista lateral|Mediocampista ofensivo,Muy bueno,José María Sildero
Free Agents ,Uruguay,Defensa central,Muy bueno,Egidio Maestre Schetino
SL Benfica ,Portugal,Defensa central,Muy bueno,Rúben Dias
Real Madrid ,Uruguay,Mediocampista defensivo|Mediocampista central,Sobresaliente,Federico Valverde
SV Werder Bremen ,Czech Republic,Portero,Muy bueno,Jirí Pavlenka
Borussia Dortmund ,Morocco,Defensa lateral|Defensa lateral (lateral derecha)|Mediocampista lateral,Muy bueno,Achraf Hakimi
Real Madrid ,Serbia,Delantero,Muy bueno,Luka Jovic
Manchester City ,Brazil,Delantero,Muy bueno,Gabriel Jesus
Flamengo ,Brazil,Delantero,Muy bueno,Oswaldinato
Palmeiras ,Brazil,Delantero|Mediocampista ofensivo|Delantero central,Muy bueno,Nuno Padrenda
Atlético Mineiro ,Brazil,Mediocampista defensivo|Mediocampista central|Mediocampista ofensivo,Muy bueno,Rosberto Dourado
Cruzeiro ,Brazil,Defensa central|Mediocampista defensivo,Muy bueno,Juiano Mestres
Grêmio ,Brazil,Portero,Muy bueno,Raphaelito Anjos
Manchester United ,England,Lateral (lateral izquierdo)|Defensa lateral|Extremo (Extremo derecho),Muy bueno,Aaron Wan-Bissaka
Borussia Mönchengladbach ,Switzerland,Defensa central|Mediocampista defensivo|Mediocampista central,Muy bueno,Denis Zakaria
FC Barcelona ,Portugal,Defensa lateral,Muy bueno,Nélson Semedo
Tottenham Hotspur ,Argentina,Mediocampista central|Mediocampista ofensivo,Muy bueno,Giovani Lo Celso
Arsenal ,Ivory Coast,Mediocampista lateral|Extremo (Extremo derecho),Muy bueno,Nicolas Pépé
