Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Adventure, Action, Science Fiction",en,2010-04-28,6.8,stark; invention; faces,Iron Man 2
"Animation, Comedy, Fantasy, Family",en,2020-12-25,8.2,spent; child; note,Soul
"Adventure, Action, Fantasy",en,2011-05-14,6.5,if; blackbeard; revenge,Pirates of the Caribbean: On Stranger Tides
"Horror, Thriller",en,2021-02-28,5.4,phobias; dangerous; five,Phobias
"Science Fiction, Thriller, Horror",en,2021-05-21,7.6,sound; outside; creatures,A Quiet Place Part II
"Horror, Drama, Thriller",it,1972-10-14,5.7,murdered; 12-year; bathtub,What the Peeper Saw
"Action, Crime",en,2023-04-06,0.0,fast; installment; saga,Fast & Furious 10
"Action, Crime, Drama, Thriller",en,2012-07-16,7.8,hunted; terrorist; protect,The Dark Knight Rises
"Animation, Fantasy, Family",en,2021-11-26,7.6,annual; gift; plans,Trolls Holiday in Harmony
"Action, Adventure, Fantasy",en,2016-03-23,5.9,hero; threat; fearing,Batman v Superman: Dawn of Justice
"Thriller, Horror",en,2021-09-01,7.2,begins; kate; happening,Motherly
"Action, Crime, Thriller",en,2021-03-18,8.2,"behind; mansell; ""nobody""",Nobody
"Animation, Action, Adventure, Fantasy",ja,2018-08-03,8.0,currently; convention; might,My Hero Academia: Two Heroes
"Adventure, Fantasy",en,2009-07-07,7.7,ahead; hogwarts; showdown,Harry Potter and the Half-Blood Prince
"Comedy, Romance",en,2022-01-06,5.3,surprise; erotic; couple,Book of Love
"Action, Science Fiction, Thriller",en,2021-08-26,5.0,raptors; sends; spy,Jurassic Hunt
Drama,en,2021-12-25,7.2,mvp; warner; nfl,American Underdog
"Drama, Action, Crime, Thriller",en,2008-07-14,8.5,known; remaining; batman,The Dark Knight
"Animation, Action, Adventure, Mystery",ja,2021-02-24,7.8,fledgling; curse; satoru,Jujutsu Kaisen 0
"Action, Crime, Drama, Thriller",en,2020-07-02,5.7,survival; dangerously; ops,Ava
"Romance, Drama",es,2010-12-03,7.8,sense; motorbike; common,Three Steps Above Heaven
"Comedy, Drama",ko,2021-08-11,7.1,running; hole; house,Sinkhole
"Action, Thriller",en,2010-05-22,7.5,toilets; begins; end,Undisputed III: Redemption
"Animation, Adventure, Family, Comedy",en,1995-10-30,8.0,buzz; learns; led,Toy Story
"Family, Fantasy, Adventure, Comedy, Horror",en,2020-10-25,6.5,deceptively; glamorous; thoroughly,Roald Dahl's The Witches
Comedy,es,2021-12-25,3.5,also; grandmother; however,El Paseo 6
"Horror, Drama",en,2021-04-30,5.7,ghost; mother; artist,Separation
"Animation, Science Fiction, Action",ja,2022-04-22,0.0,ribbon; people; goku,Dragon Ball Super: Super Hero
Romance,en,2022-08-25,0.0,moody; lovers; couple's,After Ever Happy
"Drama, Thriller, War",en,2009-01-22,7.1,presumed; goes; tommy,Brothers
"Animation, Comedy, Fantasy, Adventure, Family",en,2001-05-18,7.7,mission; fire-breathing; retrieve,Shrek
"Action, Comedy, Documentary",en,2022-02-01,7.1,executed; displays; dangerous,Jackass Forever
"Adventure, Family, Animation, Action, Comedy",en,2014-10-24,7.8,prodigy; hamada; special,Big Hero 6
"Animation, Comedy, Fantasy",en,2021-04-02,7.5,playtime; tinkles; monster,Monster Pets: A Hotel Transylvania Short
"Romance, Comedy",es,2015-03-03,6.2,expected; men; university,Off Course
"Action, Adventure, Fantasy",en,2014-12-10,7.3,defend; immediately; it:,The Hobbit: The Battle of the Five Armies
"Action, Adventure",ru,2021-04-01,6.8,grom; attitude; challenges,Major Grom: Plague Doctor
"Animation, Family",en,2021-01-13,7.1,bats; once; zooms,Monster Family 2
"Action, Crime, Thriller",en,2021-07-14,6.4,professional; gang; no,Gunpowder Milkshake
"Crime, Horror",ja,1986-01-18,4.0,maniac; sexually; until,Beautiful Sisters: Flesh Slave
"Action, Drama, Crime",en,2021-01-22,6.7,tom; tom; stars:,Narco Sub
"Adventure, Fantasy, Mystery",en,2007-06-28,7.7,novel; dark; select,Harry Potter and the Order of the Phoenix
"Crime, Thriller",en,2015-09-09,6.9,underworld; london; start,Legend
