Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Adventure, Family, Drama",fr,2021-12-15,7.3,named; order; gradually,Vicky and Her Mystery
"Animation, Adventure, Comedy, Fantasy",ja,2019-08-30,8.4,nonsense; decide; wants,KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson
"Drama, Crime",pt,2021-10-22,7.1,clutches; human; trafficker,7 Prisoners
Documentary,es,2022-02-23,6.5,attack; terrorist; insiders,11M
"Science Fiction, Action",ko,2021-04-12,7.6,human; trouble; agent,Seobok: Project Clone
"Animation, Family, Comedy, Fantasy, Adventure",en,2004-05-19,7.2,married; donkey; mother,Shrek 2
"Adventure, Fantasy, Family",en,2010-02-01,6.2,he's; lightning; zeus',Percy Jackson & the Olympians: The Lightning Thief
"Romance, Animation, Drama",ja,2016-08-26,8.5,mitsuha; around; wakes,Your Name.
Comedy,en,2021-12-17,5.9,inheritance; anything; daddy's,Chief Daddy 2: Going for Broke
"Adventure, Action, Science Fiction",en,2016-04-27,7.4,captain; former; activity.,Captain America: Civil War
"Crime, Thriller, Drama",en,2019-10-02,8.2,crime; turns; becoming,Joker
"Crime, Drama, Thriller, Action",en,2012-12-20,6.6,lives; suspect; extraordinary,Jack Reacher
"Comedy, Drama",it,2022-03-04,6.7,film; real-life; parents,The Invisible Thread
"Drama, Action, Thriller",en,2021-08-11,5.9,terror; buckingham; running,SAS: Red Notice
"Adventure, Fantasy, Drama",en,2020-09-04,7.0,chinese; per; decree,Mulan
"Comedy, Romance",en,2022-02-10,6.1,respective; biggest; houses,I Want You Back
"Adventure, Fantasy, Action",en,2006-07-06,7.3,avoid; blood; eternal,Pirates of the Caribbean: Dead Man's Chest
Action,en,2009-09-29,6.5,haunted; clan; waits,Ninja Assassin
"Crime, Drama, Comedy",en,2013-12-25,8.0,securities; york; autobiography,The Wolf of Wall Street
"Animation, Adventure, Fantasy, Family, TV Movie",en,2021-12-30,7.4,again; use; body,Hilda and the Mountain King
"Action, Adventure, Drama",ja,2021-06-04,7.8,heart; kenshin; meets,Rurouni Kenshin: The Beginning
"Action, Adventure, Comedy",ml,2021-12-24,7.2,needs; hometown; down,Minnal Murali
"Animation, Adventure, Fantasy, Action, Family",ja,2019-07-12,6.7,mewtwo; artificially; trainer,Pokémon: Mewtwo Strikes Back - Evolution
