timestamp,id,evento,usuarie,estado,texto_ingresado,respuesta,nivel
1655490243.313441,22,intento,usuarieUWU,error,Lago Cardiel,Lago Asador O Guitarra,Facil
1655490243.313441,22,fin,usuarieUWU,finalizado,-,-,Facil
1655490359.190213,23,inicio_partida,usuarieUWU,nueva,-,-,Facil
1655490359.341247,23,intento,usuarieUWU,error,Lago Río Bueno,Lago Tromen,Facil
1655490359.54858,23,intento,usuarieUWU,error,Lago Rosario,Lago Moquehue,Facil
1655490360.021041,23,intento,usuarieUWU,error,Lago Burmeister,Lago Huechulafquen,Facil
1655490360.173243,23,intento,usuarieUWU,error,Lago Belgrano,Lago Onelli,Facil
1655490360.637461,23,intento,usuarieUWU,error,Lago Fontana,Lago Burmeister,Facil
1655490360.637461,23,fin,usuarieUWU,finalizado,-,-,Facil
1655490484.530726,24,inicio_partida,usuarieUWU,nueva,-,-,Facil
1655490484.816874,24,intento,usuarieUWU,error,Lago Cardiel,Lago Gutiérrez,Facil
1655490485.081452,24,intento,usuarieUWU,error,Lago Fontana,Lago Burmeister,Facil
1655490485.22544,24,intento,usuarieUWU,ok,Lago General Vintter,Lago General Vintter,Facil
1655490485.369474,24,intento,usuarieUWU,error,Lago Cholila,Lago Nahuel Huapi,Facil
1655490485.529018,24,intento,usuarieUWU,error,Lago Menéndez,Lago Río Chico,Facil
1655490485.529018,24,fin,usuarieUWU,finalizado,-,-,Facil
1655490885.778268,25,inicio_partida,UWU,nueva,-,-,Facil
1655490887.037595,25,intento,UWU,error,Lago Quillén,Lago Ghío,Facil
1655490888.085346,25,intento,UWU,error,Lago Tromen,Lago Cardiel,Facil
1655490896.652874,25,intento,UWU,error,Lago Onelli,Lago Falkner,Facil
1655490897.357427,25,intento,UWU,error,Lago Burmeister,Lago Nahuel Huapi,Facil
1655490899.421389,25,intento,UWU,ok,Lago Menéndez,Lago Menéndez,Facil
1655490899.421389,25,fin,UWU,finalizado,-,-,Facil
1655491162.013213,26,inicio_partida,UWU,nueva,-,-,Facil
1655491162.726844,26,intento,UWU,error,Lago Chepelmut,Lago Lácar,Facil
1655491163.493503,26,intento,UWU,error,Lago Fontana,Lago Currhué,Facil
1655491164.05463,26,intento,UWU,error,Lago Argentino,Lago Gutiérrez,Facil
1655491164.748949,26,intento,UWU,error,Lago Mascardi,Lago Paimún,Facil
1655491165.334017,26,intento,UWU,error,Lago Meliquina,Lago Burmeister,Facil
1655491165.334017,26,fin,UWU,finalizado,-,-,Facil
1655491331.850979,27,inicio_partida,UWU,nueva,-,-,Facil
1655491332.951146,27,intento,UWU,ok,Julian Pollersbeck,Julian Pollersbeck,Facil
1655491333.55823,27,intento,UWU,ok,Isi,Isi,Facil
1655491334.11661,27,intento,UWU,error,Raúl García,Jannis Nikolaou,Facil
1655491334.693952,27,intento,UWU,error,Callum Hudson-Odoi,Vyacheslav Karavaev,Facil
1655491335.390806,27,intento,UWU,error,Diego Moreno,Fabian Holland,Facil
1655491335.390806,27,fin,UWU,finalizado,-,-,Facil
1655491366.028168,28,inicio_partida,UWU,nueva,-,-,Facil
