,TEAM,NATIONALITY,POSITION,AGE,POTENTIAL,NAME
148,Roma ,Bosnia & Herzegovina,Delantero,34,Muy bueno,Edin Dzeko
149,Sevilla FC ,Argentina,Mediocampista defensivo|Mediocampista central,32,Muy bueno,Éver Banega
150,Cagliari ,Belgium,Mediocampista central|Mediocampista ofensivo|Delantero central,32,Muy bueno,Radja Nainggolan
151,Real Madrid ,Brazil,Defensa lateral (lateral derecha),32,Muy bueno,Marcelo
152,Lazio ,Brazil,Mediocampista defensivo,33,Muy bueno,Lucas Leiva
153,Juventus ,France,Mediocampista defensivo|Mediocampista central,33,Muy bueno,Blaise Matuidi
154,Torino ,Italy,Portero,33,Muy bueno,Salvatore Sirigu
155,Wolverhampton Wanderers ,Portugal,Mediocampista central,33,Muy bueno,João Moutinho
156,FC Barcelona ,France,Extremo (Extremo derecho)|Extremo (Extremo izquierdo),23,Sobresaliente,Ousmane Dembélé
157,Grêmio ,Brazil,Mediocampista ofensivo|Extremo (Extremo derecho),28,Muy bueno,Ronaldo Cabrais
158,Grêmio ,Brazil,Defensa central,28,Muy bueno,Josué Chiamulera
159,Atlético Mineiro ,Brazil,Delantero|Delantero central,28,Muy bueno,Louri Beretta
160,Real Sociedad ,Spain,Extremo (Extremo derecho)|Extremo (Extremo izquierdo),23,Muy bueno,Oyarzabal
161,Napoli ,Spain,Mediocampista central,24,Muy bueno,Fabián
162,Ajax ,Netherlands,Mediocampista central|Mediocampista ofensivo,23,Muy bueno,Donny van de Beek
163,Roma ,Spain,Portero,25,Muy bueno,Pau López
164,Getafe CF ,Togo,Defensa central,28,Muy bueno,Dakonam Djené
165,SL Benfica ,Portugal,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),27,Muy bueno,Rafa
166,TSG 1899 Hoffenheim ,Croatia,Delantero|Mediocampista ofensivo,29,Muy bueno,Andrej Kramaric
167,Inter ,Croatia,Mediocampista defensivo|Mediocampista central,27,Muy bueno,Marcelo Brozovic
168,Atalanta ,Colombia,Delantero,29,Muy bueno,Duván Zapata
169,Guangzhou Evergrande Taobao FC ,Brazil,Mediocampista ofensivo|Extremo (Extremo derecho),26,Muy bueno,Anderson Talisca
170,Lazio ,lbania,Portero,25,Muy bueno,Thomas Strakosha
171,Manchester United ,France,Delantero,24,Muy bueno,Anthony Martial
172,Ajax ,Argentina,Defensa lateral (lateral derecha),27,Muy bueno,Nicolás Tagliafico
173,Tottenham Hotspur ,England,Mediocampista central|Mediocampista ofensivo,24,Muy bueno,Dele Alli
174,Milan ,Italy,Defensa central,25,Muy bueno,Alessio Romagnoli
175,SL Benfica ,Spain,Defensa lateral (lateral derecha),24,Muy bueno,Grimaldo
176,Borussia Dortmund ,Portugal,Defensa lateral (lateral derecha)|Mediocampista lateral (Mediocampista derecho)|Mediocampista central,26,Muy bueno,Raphaël Guerreiro
177,Ajax ,Netherlands,Mediocampista ofensivo|Extremo (Extremo izquierdo),28,Muy bueno,Quincy Promes
178,Eintracht Frankfurt ,Serbia,Extremo|Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo izquierdo),27,Muy bueno,Filip Kostic
179,Atlético Madrid ,Belgium,Mediocampista lateral (Mediocampista derecho),26,Muy bueno,Yannick Carrasco
180,Chelsea ,Spain,Portero,25,Muy bueno,Kepa
181,Medipol Basaksehir FK ,Bosnia & Herzegovina,Mediocampista lateral,30,Muy bueno,Edin Višca
182,Napoli ,Poland,Delantero,26,Muy bueno,Arkadiusz Milik
183,Real Sociedad ,Spain,Mediocampista lateral|Delantero central|Extremo (Extremo derecho),28,Muy bueno,Portu
184,Olympique de Marseille ,France,Mediocampista lateral|Extremo (Extremo derecho),27,Muy bueno,Florian Thauvin
185,RB Leipzig ,Austria,Mediocampista central|Mediocampista ofensivo,26,Muy bueno,Marcel Sabitzer
186,Wolverhampton Wanderers ,Mexico,Delantero,29,Muy bueno,Raúl Jiménez
187,Atlético Madrid ,Montenegro,Defensa central,29,Muy bueno,Stefan Savic
188,Borussia Dortmund ,Belgium,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Delantero central,27,Muy bueno,Thorgan Hazard
189,Manchester United ,England,Defensa central,27,Muy bueno,Harry Maguire
190,Valencia CF ,Brazil,Defensa central,29,Muy bueno,Gabriel Paulista
191,Atlético Madrid ,Spain,Delantero,27,Muy bueno,Morata
192,Everton ,France,Defensa lateral (lateral derecha),27,Muy bueno,Lucas Digne
193,Ajax ,Serbia,Mediocampista ofensivo|Delantero central|Extremo (Extremo izquierdo),31,Muy bueno,Dušan Tadic
194,Bayer 04 Leverkusen ,Chile,Mediocampista defensivo|Mediocampista central,31,Muy bueno,Charles Aránguiz
195,Paris Saint-Germain ,Spain,Mediocampista ofensivo|Extremo (Extremo derecho),28,Muy bueno,Pablo Sarabia
196,Crystal Palace ,Ivory Coast,Mediocampista lateral (Mediocampista derecho)|Delantero central,27,Muy bueno,Wilfried Zaha
197,Valencia CF ,Spain,Delantero,29,Muy bueno,Rodrigo
198,Real Betis ,Spain,Defensa central|Mediocampista defensivo,29,Muy bueno,Bartra
199,FC Bayern München ,Austria,Defensa lateral (lateral derecha)|Defensa central,28,Muy bueno,David Alaba
200,Liverpool ,Cameroon,Defensa central,28,Muy bueno,Joel Matip
201,Juventus ,Colombia,Defensa lateral|Mediocampista lateral|Extremo (Extremo derecho),32,Muy bueno,Juan Cuadrado
202,VfL Wolfsburg ,Belgium,Portero,28,Muy bueno,Koen Casteels
203,Bayer 04 Leverkusen ,Finland,Portero,30,Muy bueno,Lukáš Hrádecky
204,Ajax ,Netherlands,Defensa lateral (lateral derecha)|Defensa central|Mediocampista defensivo,30,Muy bueno,Daley Blind
205,Athletic Club ,Spain,Mediocampista ofensivo|Extremo (Extremo derecho)|Extremo (Extremo izquierdo),27,Muy bueno,Muniain
206,Eintracht Frankfurt ,Germany,Portero,30,Muy bueno,Kevin Trapp
207,Manchester City ,England,Defensa lateral,30,Muy bueno,Kyle Walker
208,Juventus ,Wales,Mediocampista central|Mediocampista ofensivo,29,Muy bueno,Aaron Ramsey
209,Shanghai SIPG FC ,Austria,Delantero,31,Muy bueno,Marko Arnautovic
210,Fenerbahçe SK ,Germany,Delantero|Mediocampista ofensivo,32,Muy bueno,Max Kruse
211,FC Bayern München ,Croatia,Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo izquierdo),31,Muy bueno,Ivan Perišic
212,Juventus ,Germany,Mediocampista defensivo|Mediocampista central,33,Muy bueno,Sami Khedira
213,Wolverhampton Wanderers ,Portugal,Portero,32,Muy bueno,Rui Patrício
214,Arsenal ,Germany,Mediocampista ofensivo|Extremo (Extremo derecho),31,Muy bueno,Mesut Özil
