Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Action, Adventure, Science Fiction",en,2018-04-12,6.5,catastrophe; global; everchanging,Rampage
Animation,en,2021-05-14,7.4,journey; sail; chelsea,Barbie & Chelsea: The Lost Birthday
"Adventure, Action, Thriller, Science Fiction",en,2003-05-15,7.0,discovered; next; machine,The Matrix Reloaded
"Mystery, Horror",en,2021-07-14,7.3,hysterical; finally; deadly,Fear Street: 1666
"Adventure, Action, Fantasy",en,2001-05-04,6.3,o’connell; evelyn; well,The Mummy Returns
"Family, Animation, Mystery, Comedy",en,2020-10-06,8.0,guy; solve; gigantic,"Happy Halloween, Scooby-Doo!"
"Thriller, Horror",en,2021-02-26,5.6,night; things; go,Safer at Home
"Animation, Action, Science Fiction, Drama, Fantasy",ja,1990-10-17,7.5,best; see; destruction,Dragon Ball Z: Bardock - The Father of Goku
"Family, Adventure, Animation, Comedy",en,2008-10-30,6.4,species; continent; alex,Madagascar: Escape 2 Africa
"Animation, Comedy, Family",en,2006-11-16,6.1,dance; fierce!; born,Happy Feet
"Romance, Comedy",en,2021-07-29,7.3,aspiring; resort; career,Resort to Love
