Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Family, Comedy, Animation, Adventure",en,2018-01-26,6.1,hidden; cavemen; sidekick,Early Man
Documentary,en,2000-10-22,7.5,last; action; portrait,Bruce Lee: A Warrior's Journey
"Romance, Drama, Mystery",en,2006-06-16,6.9,lakeside; unravel; romance,The Lake House
"Romance, Comedy",en,1994-09-17,6.8,marry; meets; fall,Only You
Drama,en,2017-02-15,7.1,unlikely; musicmad; forms,Handsome Devil
"Family, Action, Comedy",en,2020-01-09,6.9,hardened; undercover; mercy,My Spy
"Horror, History, Fantasy",sv,2018-10-10,5.3,something; inside; nanna,Draug
"Action, Comedy",it,1977-04-01,6.9,recruitment; men; attempted,Crime Busters
"Action, Adventure, Horror, Thriller",en,2005-08-26,5.3,larger; biologists; blocks,The Cave
Crime,fr,1969-12-01,7.7,jewels; would; conspire,The Sicilian Clan
"Crime, Action, Drama",cn,2017-08-25,6.5,police; negotiator; 16yearold,Paradox
Animation,es,2018-01-19,8.0,together; forced; leo,La leyenda del Charro Negro
"Drama, Romance",en,2012-09-06,6.7,affluent; lifechanging; aristocrat,Anna Karenina
"Crime, Drama, Mystery",en,2005-02-19,4.9,plans; million; nothing,Wild Things: Diamonds in the Rough
"Drama, Thriller",es,2020-01-23,7.7,military; months; militants,Pacto de Fuga
"Adventure, Animation, Family, Comedy, Fantasy",en,1990-08-03,6.8,collie; niece; gold,DuckTales: The Movie - Treasure of the Lost Lamp
"Comedy, Drama",en,2004-01-20,5.8,namebrand; chains; next,Barbershop 2: Back in Business
"Family, Animation, Action, Adventure, Fantasy, Science Fiction",ja,2006-07-15,6.4,mission; deliever; ranger,Pokémon Ranger and the Temple of the Sea
"Drama, Romance",en,1996-03-29,6.7,reacquainted; villa; american,Stealing Beauty
Drama,el,2009-10-22,7.1,ostracized; hence; refers,Dogtooth
"Adventure, Action, Fantasy, Science Fiction, Thriller, Romance, Animation",en,2001-07-02,6.2,planet; unleash; force,Final Fantasy: The Spirits Within
"Thriller, Science Fiction, Action",en,2018-06-07,6.0,2028; thieves; whole,Hotel Artemis
"Thriller, Action",en,2016-06-10,5.5,drug; gets; employers,Collide
"Adventure, Action, Comedy, Fantasy",ko,2009-12-23,6.6,korea; wizards; concerns,Woochi : The Demon Slayer
"Action, Drama",en,2003-01-31,6.1,members; club; suits,Biker Boyz
Horror,en,1985-10-10,6.5,maniac; startled; who's,Silver Bullet
"Crime, Thriller",en,2018-11-06,6.5,explosive; off; widows,Widows
"Horror, Science Fiction",es,1969-01-01,4.9,couples; kidnaps; doctor,The Curious Dr. Humpp
Comedy,en,2006-09-09,5.4,waitress; kind; dare,Wedding Daze
"Action, Comedy, Crime, Thriller",en,2006-12-09,6.5,no; las; lot,Smokin' Aces
Action,en,1996-02-09,6.0,stolen; air; maneuvers,Broken Arrow
"Thriller, Drama, Mystery",en,2007-04-12,6.7,grow; ashley; decides,Disturbia
